total_calendar_time,num_rework_cycles,prop_defects_caught_early,num_late_defects,handover_delay,condition,seed
95.54434413699568,1,1.0,0,0.0,plaintext,447473040
112.70521764775546,1,1.0,0,0.0,plaintext,992582322
95.84047253921364,1,1.0,0,0.0,plaintext,382009740
120.84075757910861,1,0.0,1,0.0,plaintext,953587957
130.62720055675413,0,0.0,0,4.70833838951401,plaintext,827148012
143.65235195253192,0,0.0,0,0.0,plaintext,639453026
123.67323145642798,0,0.0,0,3.958609084847508,plaintext,766262291
108.8314264131351,0,0.0,0,0.0,plaintext,975809009
109.36125457363548,0,0.0,0,0.0,plaintext,386220117
75.84548046833382,0,0.0,0,0.0,plaintext,77225028
135.62699923668822,3,0.3333333333333333,2,0.0,plaintext,454802478
105.32186899497681,0,0.0,0,0.0,plaintext,317456409
144.94749011392793,1,1.0,0,3.2420346848733783,plaintext,487140780
103.96589304551304,0,0.0,0,0.0,plaintext,919555406
123.95971329905522,0,0.0,0,0.0,plaintext,965575969
91.73118991330661,1,1.0,0,0.0,plaintext,675869564
95.53545234788105,0,0.0,0,0.0,plaintext,635632885
92.9284568822718,0,0.0,0,0.0,plaintext,285824935
96.89807045476817,0,0.0,0,0.0,plaintext,15031671
91.56058373417945,1,1.0,0,0.0,plaintext,389543024
99.8445898214965,0,0.0,0,3.707506080277522,plaintext,454321271
103.50917322627191,1,0.0,1,0.0,plaintext,230219559
78.29111572941672,0,0.0,0,0.0,plaintext,794838101
82.70283255973914,0,0.0,0,0.0,plaintext,166961150
145.5656739739362,0,0.0,0,0.0,plaintext,479755933
110.83071779547916,0,0.0,0,0.0,plaintext,153436428
95.44521648231199,0,0.0,0,0.0,plaintext,347652898
81.26509677356859,0,0.0,0,0.0,plaintext,974091700
113.69525749627188,0,0.0,0,0.0,plaintext,668703150
101.31625559894657,1,1.0,0,0.0,plaintext,423895849
104.01471616147978,0,0.0,0,0.0,plaintext,219814740
179.85910355478595,0,0.0,0,0.0,plaintext,63143894
140.49773789277808,0,0.0,0,0.0,plaintext,881447731
117.78207140490521,0,0.0,0,0.0,plaintext,491586484
134.5840490758878,1,0.0,1,0.0,plaintext,624296772
106.36878659102217,0,0.0,0,0.0,plaintext,288343373
110.68110803880809,0,0.0,0,3.6413541777051086,plaintext,56133189
82.55801661901717,0,0.0,0,0.0,plaintext,211616330
121.6552186232281,1,1.0,0,0.0,plaintext,137503976
135.7608395699563,1,1.0,0,0.0,plaintext,207432380
93.50834696236969,1,1.0,0,0.0,plaintext,143247786
105.09896038282724,0,0.0,0,0.0,plaintext,590850261
92.6500659226806,0,0.0,0,0.0,plaintext,570789615
102.5287022825666,1,1.0,0,0.0,plaintext,888064490
144.14222612562827,0,0.0,0,0.0,plaintext,481865928
133.87082271682982,2,0.5,1,0.0,plaintext,109832955
120.01747860528408,0,0.0,0,0.0,plaintext,321948478
119.87643750979315,1,0.0,1,0.0,plaintext,496302138
96.8986228886085,1,1.0,0,0.0,plaintext,305093937
76.74509051975932,0,0.0,0,0.0,plaintext,290132263
130.375983892701,1,1.0,0,0.0,plaintext,251474150
88.4056685098687,0,0.0,0,0.0,plaintext,485851451
119.76892659020426,1,1.0,0,0.0,plaintext,900107159
107.2457838961606,0,0.0,0,3.584535177729559,plaintext,948519479
109.95722202330913,1,0.0,1,0.0,plaintext,710945549
114.29550636450371,1,0.0,1,0.0,plaintext,926509019
99.11304269299501,0,0.0,0,0.0,plaintext,996288997
94.51185449658568,1,1.0,0,0.0,plaintext,760100735
111.69217466439339,1,0.0,1,0.0,plaintext,861937882
113.65874516935091,1,1.0,0,0.0,plaintext,782025993
90.16468782799114,0,0.0,0,0.0,plaintext,277907947
92.25735168755081,0,0.0,0,0.0,plaintext,941666499
112.23672498792874,1,0.0,1,0.0,plaintext,517621532
127.98321000973918,0,0.0,0,4.735787822661561,plaintext,113382854
113.32865803547443,1,0.0,1,0.0,plaintext,804581486
115.24729812556622,1,1.0,0,4.060425952976789,plaintext,64364266
114.34953151482836,1,1.0,0,0.0,plaintext,766010489
104.56534830307918,0,0.0,0,0.0,plaintext,283673415
130.40757815088173,1,1.0,0,4.347957501227084,plaintext,573661825
116.9524012914437,1,0.0,1,0.0,plaintext,625883818
128.6017996718057,1,1.0,0,0.0,plaintext,851419801
114.83200795389929,1,0.0,1,0.0,plaintext,953942859
114.51460967193911,0,0.0,0,0.0,plaintext,852025661
90.52278247363658,0,0.0,0,0.0,plaintext,462635587
143.50695239094495,2,0.5,1,0.0,plaintext,371118368
104.2445582200789,0,0.0,0,0.0,plaintext,483334549
155.3659179450499,1,0.0,1,0.0,plaintext,457102774
103.34462474696105,1,1.0,0,0.0,plaintext,339732187
132.69094662447603,1,1.0,0,0.0,plaintext,301182418
108.30571522141261,1,0.0,1,0.0,plaintext,345054914
114.63410404255079,2,1.0,0,0.0,plaintext,810528714
123.35578344169213,0,0.0,0,0.0,plaintext,493782063
106.32417415223205,1,0.0,1,0.0,plaintext,167372722
94.46824771521833,0,0.0,0,0.0,plaintext,562978820
99.98595965361204,0,0.0,0,0.0,plaintext,935559746
124.82259145110159,1,1.0,0,0.0,plaintext,481827246
116.40396072168527,2,0.0,2,0.0,plaintext,404645422
110.20077917293249,3,0.3333333333333333,2,0.0,plaintext,253821265
156.39776269414364,0,0.0,0,0.0,plaintext,287891266
106.17850369736242,1,1.0,0,0.0,plaintext,983527460
